"Register","Registreer"
"Need Help? Send Us Your Message","Hulp nodig? Stuur ons een bericht"
"Address:","Ons adres:"
"Telephone","Telefoonnummer:"
"If you wish to comment on your experience with a Dilmah Tea product or if you require any information, Please fill the following details","Als u in concact met ons wil komen, vul dan aub onderstaande velden in"
"Order number","Bestelnummer"
"Subject","Onderwerp"
"Your topic","Onderwerp"
"Select your topic","Selecteer het onderwerp"
"Product related information","Product gerelateerde informatie opvragen"
"order related information","Bestelling gerelateerde informatie opvragen"
"lovers of tea club","Lovers of Tea Club"
"Other","anders"
"What’s on your mind?","Uw vraag/opmerking"
"Write your message","Schrijf hier uw bericht"
"Write your message ...","Schrijf hier uw bericht ..."
"Sign up to receive our Newsletter","Ik wil me ook aanmelden voor de nieuwsbrief"
"Confirm acceptance of our Privacy Policy","Ik bevestig dat ik akkoord ben met de privacy policy"
"Confirm acceptance of our","Ik bevestig dat ik akkoord ben met de"
"Send my message","Bericht verzenden"
"Send My Message","Bericht verzenden"
"Required field","Verplicht veld"
"Phone","Telefoonnummer"
"Monday - Friday 9am to 5:30pm AUS EST","Maandag - Vrijdag van 9:00 tot 17:30"
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","Bedankt voor uw vraag of opmerking. We nemen zo snel mogelijk contact met u op."
"Returing Customers","Ik ben al klant"
"Password","Wachtwoord"
"Sign Up","Registreer Mij"
"Sign up","Registreer mij"
"Forgot Your Password","Wachtwoord vergeten?"
"Forgot Your Password?","Wachtwoord vergeten?"
"Please enter your email address below to receive a password reset link.","Vul aub uw email adres hieronder in zodat we u een nieuw wachtwoord kunnen sturen."
"Submit","Bevestig"
"Forgot Password","Wachtwoord vergeten"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Als er een account is met het emailadres %1 ontvangt u een email."
"Not a member yet?","Nog geen klant ?"
"When you create an account you can:","Als u een account bij ons aanmaakt kunt u:"
"Track your orders online","Uw bestellingen online volgen"
"Checkout faster next time","Sneller afrekenen bij de volgende bestelling"
"Hear about our exclusive offers first!","Op de hoogte worden gehouden van aanbiedingen"
"Earn 50 reward points each time you review a product!","50 punten verdienen voor de Tea Lovers Club per product beoordeling"
"Earn reward points with every purchase","punten verdienen voor de Tea Lovers Club per bestelling"
"Convert reward points into store credits","Tea Lovers Club punten omzetten"
"Sign up Now","Restreer als klant"
"Sign up now", "Restreer als klant"
"New Customers","Nieuwe klanten"
"Create new customer account","Creëer een nieuwe account"
"Personal Information","Persoonlijke gegevens"
"Sign Up for Newsletter","Meld mij aan voor de nieuwsbrief"
"Sign-in Information","Uw inloggegevens"
"Create an Account","Créer un compte"
"There is already an account with this email address. If you are sure that it is your email address, click here to get your password and access your account.","Er is al een account met dit emailadres. Als dit uw emailadres is kunt u hier klikken om toegang tot uw account te krijgen."
"Thank you for registering with Dilmah Online Store.","Bedankt voor uw registratie"
"Thank you for registering with %1.","Bedankt voor uw registratie."
"Already a member?","Bent u al klant?"
"My Account","Mijn Account"
"reward points","Tea Lovers punten"
"Reward points","Tea Lovers punten"
"Store credits","Krediet"
"Account Information","Account informatie"
"Edit Account Information","Bewerk account informatie"
"First Name","Voornaam"
"First name","Voornaam"
"Last Name","Achternaam"
"Last name","Achternaam"
"Email","Emailadres"
"Date of Birth","Geboortedatum"
"Gender","Geslacht"
"Change Password","Wijzig wachtwoord"
"Current Password","Huidig wachtwoord"
"new password","Nieuwe wachtwoord"
"New Password","Nieuwe wachtwoord"
"Confirm New Password","Bevestig wachtwoord"
"The password doesn't match this account.","Het wachtwoord hoort niet bij dit account"
"You saved the account information.","De wijzigingen zijn opgeslagen"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Vul aub minstens 6 karakters in, spaties tellen niet mee."
"Please enter the same value again.","Vul aub nogmaals in"
"Default Addresses","Standaard adres"
"Default Billing Address","Standaard factuur adres"
"Default Shipping Address","Standaard bezorg adres"
"Change Billing Address","Pas factuur adres aan"
"Change Shipping Address","Pas bezorg adres aan"
"Additional Address Entries","Extra adressen"
"You have no other address entries in your address book.","U heeft geen extra adressen in uw adressenboek"
"Add New Address","Voeg nieuw adres toe"
"Contact Information","Contact informatie"
"Company","Bedrijf"
"Phone Number","Telefoonnummer"
"Phone number","Telefoonnummer"
"Enter valid phone number","Type een geldig telefoonnummer in"
"Fax","Fax"
"Address","Adres"
"Street name and number","Straatnaam en nummer"
"City","Stad"
"Please select an option","Selecteer aub een optie"
"Zip/Postal Code","Postcode"
"Country","Land"
"Use as my default billing address","Gebruik mijn standaard factuuradres"
"Use as my default shipping address","Gebruik mijn standaard bezorgadres"
"Save Address","Bewaar adres"
"You saved the address.","Het adres is bewaard"
"Edit Address","Wijzig adres"
"Delete Address","verwijder adres"
"My orders","Mijn bestellingen"
"My Orders","Mijn bestellingen"
